dateTime,authorName,Message
2022-12-20 20:19:07,Gengy RooNiGy,ว
2022-12-20 20:19:09,คนช่างฝัน,เข้าใจนะว่า ทร.ไม่ได้งบจัดซื้ออาวุธ บ่อยๆเหมือนทัพบก
2022-12-20 20:19:17,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เรือมีรอยรั่ว มืงหัดยอมรับ ก่อนอย่าแถ
2022-12-20 20:19:19,นิตยา ศรีบัวชุม,กำลังพลทุกนายที่อยู่ในเหตุการณ์ต้องได้รับการปูนบำเน็จทุกนายทั้งผู้สูญเสียต้องเยียวยา
2022-12-20 20:19:20,ดาวเนปจูน ข้อ(三)FAIYEN⛩️🔥,เรือช้าง3 จะมาในปี66 2ล้านเหรียญดอลล่าสหรัฐเมดอินไชน่า จริงป่าวโฆษกนย.
2022-12-20 20:19:23,TRWTS,ประยุทธอยู่ไหน..???
2022-12-20 20:19:27,แผ่นดิน ( ͡~ ͜ʖ ͡°),อายุเรือ 40 ปี ใช้มาได้ 35 ปี
2022-12-20 20:19:30,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เสียงสะท้อนนิดหน่อย
2022-12-20 20:19:32,ชัยพร ศรีสุวรรณ,เรือเขาดี แค่ไหน ถ้าขาดการบำรุง รักษา ก็พัง
2022-12-20 20:19:34,นายขนมครก,จะตรวจสอบให้แน่ชัดถูกต้องไม่ครับท่าน
2022-12-20 20:19:46,mata purra,เสื้อชูชีพตัวละไม่กี่บาท แต่จัดหาไม่เพียงพอ
2022-12-20 20:19:52,TRWTS,ประยุทธจอมกร่าง อยู่ไหนๆๆ ???
2022-12-20 20:19:59,บัก สองซาว,น่าสมเพช ชูชีพไม่พอ อายไม่รู้จะเอาหน้าไปไว้ไหน
2022-12-20 20:20:00,นะโม ตาสวด,@แผ่นดิน :face_blowing_a_kiss:
2022-12-20 20:20:06,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ต้องมีคนรับผิดชอบ
2022-12-20 20:20:08,vs,ไม่มีใครเขาเชื่อเพราะแต่ละคนที่ประสบเหตุเขาอธิบายออก นำสงสารพวก เขามาก
2022-12-20 20:20:09,thunwa prakobsrikul,กลัวว่าจะไม่ยอมกู้ซากเรือ เพราะมันจะเจอหลักฐาน ร่องรอย
2022-12-20 20:20:33,ดาวเนปจูน ข้อ(三)FAIYEN⛩️🔥,วันนี้พบ7 รอดชีวิต1
2022-12-20 20:20:39,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,คนมีร่มชูชีพยังตายเลย แล้วคนที่ไม่มีล่ะ
2022-12-20 20:20:44,บัก สองซาว,กองทัพได้ทำการเลื่อนยศให้ผู้เสียชีวิต และเยียวยา
2022-12-20 20:20:50,mata purra,อยากรู้ว่าเพราะอะไร นำเรือออก พายุคลื่นลมแรง
2022-12-20 20:20:51,ตุ๋ม ปวีณา 177,จัดกำลังพลขึ้นเรือเพิ่มควรเพิ่มชูชีพนะคะเบื้องต้นเลยเพื่อความปลอดภัย
2022-12-20 20:20:59,Phimphakan Bunthongkaeo,งบกระทรวงตั้งเยอะ เบียดเบียนสาธารณสุขกับศึกษาธิการไปเท่าไหร่ หายไปไหนหมดล่ะ
2022-12-20 20:21:04,ชัยพร ศรีสุวรรณ,เรือรบ ลำนี้ ออกสู่ มหาสมุทร ได้ หรือเปล่า?
2022-12-20 20:21:07,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เลื่อนยศตอนตาย
2022-12-20 20:21:11,TRWTS,ยุคตู่งบกลาโหมเยอะมาก แต่ทหารขาดเสื้อชูชีพ
2022-12-20 20:21:21,Gvz Dc,สงสารแม่เขาจริงๆๆ
2022-12-20 20:21:24,บรู๊ค ลินน์ NY,ที่ตายก้อตายไป ที่โกงก้อโกงต่อไป
2022-12-20 20:21:28,นายขนมครก,ถ้าหากมีการโกงจริงผลของการโกงที่ไม่มีลิมิตนั่นมันจะแสดงผลเสียออกมาเรื่อยๆ หวังว่าสาเหตุครั้งนี้ไม่ได้มาจากการโกงนะครับ
2022-12-20 20:21:32,Kukiya Nenaissance,สรุปยังไง เป็นตายเท่ากัน ?
2022-12-20 20:21:44,JrAEK Dc,ประเทศไทย
2022-12-20 20:21:53,หว่าง เอวใว,ดูแล้วงบซ่อมบำรุงน่าจะหายลงทะเลหมด ขนาดเสื้อชูชีพยังมีไม่เพียงพอ:love_you_gesture::love_you_gesture::love_you_gesture::love_you_gesture:
2022-12-20 20:21:54,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ตัดงบกองทัพน้อยที่สุด สุดกว่าศึกษาํธิการ สาธารณสุข
2022-12-20 20:21:56,นะโม ตาสวด,ที่เหลือจะรอดกี่ %
2022-12-20 20:21:57,mk.l 2548,ชูชีพไม่มีถามจริง :thinking_face::thinking_face::thinking_face:
2022-12-20 20:21:59,mata purra,เรือล่มในหนองใช่ไม๊ จะหาทางซื้อเรือใหม่??
2022-12-20 20:22:00,siamwit theerasasawat,สภาพอากาศไม่ดีทำไมมึงเอาไปออกทะเลวะ
2022-12-20 20:22:05,vs,ขอปฐิหาร มีจริงหน่อยเถิด:folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:
2022-12-20 20:22:13,Kantaprat Sirasittiwat,ไม่มีความสามารถ เพียงพอ
2022-12-20 20:22:23,อุโฆษ จันทะมาลา,ต้องมีคนรับผิดตัวจริงครับ
2022-12-20 20:22:24,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,พูดเอาดีเข้าตัวชิบหาย อยากข้ามไปดูแขก คนถัดไปเลย
2022-12-20 20:22:30,ดาวเนปจูน ข้อ(三)FAIYEN⛩️🔥,ซ่อมบำรุงตามวงรอบนั้นจริงรึป่าว
2022-12-20 20:22:38,Narong Charoenying,เรือรบไทยเจอคลื่น ล่ม เฉยเสียดายภาษีสุด ๆ เศร้าใจแทนครอบครัวผู้สูญเสียสุด ๆ
2022-12-20 20:22:46,ชัยพร ศรีสุวรรณ,คลื่น ลม แค่ ห่างฝั่ง ไม่ใกล ถ้าเจอพายุ ระดับหนัก ก็ว่าไป
2022-12-20 20:22:50,Alip_ Ba_Ta,เด็กประถมยังรู้ ออกเล ต้องมีชูชีพ ทหารเรือแท้ พลาดจมน้ำตาย ขายหน้าไทยแลนด์
2022-12-20 20:22:52,คนช่างฝัน,อย่าคิดว่าสิ เรื่องความปลอดภัย
2022-12-20 20:22:56,บัก สองซาว,กองทัพเรือพร้อมยัดเงินและเลื่อนยศให้ผู้เสียชีวิตเเละจะใช้เคสนี้เบิกงบประมาณชื้อชูชีพ
2022-12-20 20:22:56,Chalermchai Suchin,เชื่อคับ เรือสภาพยังดีมาก
2022-12-20 20:22:56,Kukiya Nenaissance,พึ่งผ่านการเมนเทแนนซ์มา :face_with_raised_eyebrow:
2022-12-20 20:23:05,นะโม ตาสวด,อยากได้ลำใหม่ใช่ไหม
2022-12-20 20:23:07,TRWTS,งบ กลาโหม ยุคประยุทธ 2แสน 9 หมื่นกว่าล้านบาทต่อปี แต่เสื้อชูชีพไม่พอ เวร !!!
2022-12-20 20:23:09,ton hunter,ไม่มีใครรับผิดชอบ เดี๋ยวเลื่อนยศ จ่ายตังจบ
2022-12-20 20:23:13,mata purra,วันก่อนเรือล่ม บอกว่าทุกคนปลอดภัย
2022-12-20 20:23:14,JrAEK Dc,THAILAND
2022-12-20 20:23:19,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,แล้วทำไมเรือเข้าเยอะ ไม่ใช่เพราะ เรือรั่วแต่แรกหรอ
2022-12-20 20:23:19,阿三,พยากรณ์อากาศดูบ้างไหม ทางเหนือลมหนาวมาอุณหภูมิลดฮวบฮาบ6-8องศา ทางใต้จะเจอมรสุมฝนจะตกหนักมันเป็นลักษณะแบบนี้ประจำ งงมากออกเรือได้ไง
2022-12-20 20:23:28,Amnuay Ps,ยังอยากได้เรือดำน้ำไม่มีเครื่องยนต์อีก น่าเศร้าใจจริงๆ ค่ะ
2022-12-20 20:23:29,Kukiya Nenaissance,ใครจงใจให้น้ำทะเลเข้าหรือเปล่า
2022-12-20 20:23:31,นายขนมครก,เขาทำดีหรือไม่
2022-12-20 20:23:35,ดาวเนปจูน ข้อ(三)FAIYEN⛩️🔥,เรือช้าง3 มาปี66 เมดอินไชน่าใช่ไหมครับ
